Bin,Bin Name,Category,Sub-category,Supplies,,,,,,,,,,,,,,,,,
Camping 1,Propane,Camping,Kitchen,Propane,,,,,,,,,,,,,,,,,
Camping 1,Propane,Camping,Fire,camp shovel,,,,,,,,,,,,,,,,,
Camping 1,Propane,Camping,Fire,lighter Fluid,,,,,,,,,,,,,,,,,
Camping 1,Propane,Camping,Misc,lanterns,,,,,,,,,,,,,,,,,
Camping 10,Plates,Camping,Paper Goods,Large plates,,,,,,,,,,,,,,,,,
Camping 11,Big Items,Camping,Dining,Collapsible Water Jugs,,,,,,,,,,,,,,,,,
Camping 11,Big Items,Camping,Kitchen,Big Stock Pots,,,,,,,,,,,,,,,,,
Camping 12,Big Items,Camping,Kitchen,Big Stock Pots,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,Plates - Dinner,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,Plates - Breakfast,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,Paper Towels,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,Hot Cups,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,Cold Cups,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,mini cups,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,gloves,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,Napkins,,,,,,,,,,,,,,,,,
Camping 3,Paper Goods,Camping,Paper Goods,Gallon Ziplocs,,,,,,,,,,,,,,,,,
Camping 3,Paper Goods,Camping,Paper Goods,Aluminum foil,,,,,,,,,,,,,,,,,
Camping 3,Paper Goods,Camping,Paper Goods,Mixed Cutlery box,,,,,,,,,,,,,,,,,
Camping 3,Paper Goods,Camping,Paper Goods,Mixed Cutlery box,,,,,,,,,,,,,,,,,
Camping 3,Paper Goods,Camping,Paper Goods,spoons,,,,,,,,,,,,,,,,,
Camping 3,Paper Goods,Camping,Paper Goods,Forks,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Cutting Board,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Fire Gloves,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Pitcher,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Oven Mits,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Small Pots,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Mixing bowls - Large,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Mixing bowls - Med,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Measuring Cup,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Skillets - Large,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Ladle,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Slotted Serving Spoons,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Solid Serving Spoons,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Teflon Turners,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Spatulas - Metal,,,,,,,,,,,,,,,,,
Camping 4,Cooking,,,2 grill tongs,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Cooking Tongs,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Serving Tongs,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Can openers,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Chef Knives,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,steak knives,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Serving Sporks,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Pancake Syrub,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Hot Cocoa,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Lemonade,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Tang,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Pancake Mix,,,,,,,,,,,,,,,,,
